Date,Hospital,Drug,Opening_Balance,Quantity_Received,Consumption,Losses_Adjustments,Closing_Balance,Days_Out_of_Stock
2022-06-01,Tatale District Hospital,Amlodipine 5mg,5626,1981,753,64,6790,0
2022-07-01,Tatale District Hospital,Amlodipine 5mg,6790,0,679,92,6019,0
2022-08-01,Tatale District Hospital,Amlodipine 5mg,6019,1618,706,59,6872,0
2022-09-01,Tatale District Hospital,Amlodipine 5mg,6872,0,574,75,6223,0
2022-10-01,Tatale District Hospital,Amlodipine 5mg,6223,1777,516,27,7457,0
2022-11-01,Tatale District Hospital,Amlodipine 5mg,7457,0,633,23,6801,0
2022-12-01,Tatale District Hospital,Amlodipine 5mg,6801,1550,590,64,7697,0
2023-01-01,Tatale District Hospital,Amlodipine 5mg,7697,0,647,97,6953,0
2023-02-01,Tatale District Hospital,Amlodipine 5mg,6953,0,663,16,6274,0
2023-03-01,Tatale District Hospital,Amlodipine 5mg,6274,0,726,42,5506,0
2023-04-01,Tatale District Hospital,Amlodipine 5mg,5506,0,649,57,4800,0
2023-05-01,Tatale District Hospital,Amlodipine 5mg,4800,0,817,15,3968,0
2023-06-01,Tatale District Hospital,Amlodipine 5mg,3968,1833,670,13,5118,0
2023-07-01,Tatale District Hospital,Amlodipine 5mg,5118,0,689,38,4391,0
2023-08-01,Tatale District Hospital,Amlodipine 5mg,4391,1870,562,73,5626,0
2023-09-01,Tatale District Hospital,Amlodipine 5mg,5626,1610,642,9,6585,0
2023-10-01,Tatale District Hospital,Amlodipine 5mg,6585,0,628,33,5924,0
2023-11-01,Tatale District Hospital,Amlodipine 5mg,5924,0,695,75,5154,0
2023-12-01,Tatale District Hospital,Amlodipine 5mg,5154,1667,660,79,6082,0
2024-01-01,Tatale District Hospital,Amlodipine 5mg,6082,0,767,107,5208,0
2024-02-01,Tatale District Hospital,Amlodipine 5mg,5208,0,739,39,4430,0
2024-03-01,Tatale District Hospital,Amlodipine 5mg,4430,2061,680,43,5768,0
2024-04-01,Tatale District Hospital,Amlodipine 5mg,5768,1694,858,52,6552,0
2024-05-01,Tatale District Hospital,Amlodipine 5mg,6552,0,794,40,5718,0
2024-06-01,Tatale District Hospital,Amlodipine 5mg,5718,1538,872,32,6352,0
2024-07-01,Tatale District Hospital,Amlodipine 5mg,6352,0,659,69,5624,0
2024-08-01,Tatale District Hospital,Amlodipine 5mg,5624,1926,718,64,6768,0
2024-09-01,Tatale District Hospital,Amlodipine 5mg,6768,1741,732,128,7649,0
2024-10-01,Tatale District Hospital,Amlodipine 5mg,7649,1841,615,41,8834,0
2024-11-01,Tatale District Hospital,Amlodipine 5mg,8834,0,684,9,8141,0
2024-12-01,Tatale District Hospital,Amlodipine 5mg,8141,1847,721,159,9108,0
2020-01-01,Tatale District Hospital,Lisinopril 10mg,1176,0,523,5,648,0
2020-02-01,Tatale District Hospital,Lisinopril 10mg,648,0,491,3,154,0
2020-03-01,Tatale District Hospital,Lisinopril 10mg,154,0,553,0,0,8
2020-04-01,Tatale District Hospital,Lisinopril 10mg,0,0,544,0,0,11
2020-05-01,Tatale District Hospital,Lisinopril 10mg,0,0,545,0,0,3
2020-06-01,Tatale District Hospital,Lisinopril 10mg,0,1564,513,0,1051,0
2020-07-01,Tatale District Hospital,Lisinopril 10mg,1051,0,528,1,522,0
2020-08-01,Tatale District Hospital,Lisinopril 10mg,522,0,436,7,79,0
2020-09-01,Tatale District Hospital,Lisinopril 10mg,79,0,421,0,0,13
2020-10-01,Tatale District Hospital,Lisinopril 10mg,0,0,423,0,0,10
2020-11-01,Tatale District Hospital,Lisinopril 10mg,0,0,427,0,0,10
2020-12-01,Tatale District Hospital,Lisinopril 10mg,0,1618,406,0,1212,0
2021-01-01,Tatale District Hospital,Lisinopril 10mg,1212,0,475,20,717,0
2021-02-01,Tatale District Hospital,Lisinopril 10mg,717,0,585,1,131,0
2021-03-01,Tatale District Hospital,Lisinopril 10mg,131,1577,569,2,1137,0
2021-04-01,Tatale District Hospital,Lisinopril 10mg,1137,0,621,21,495,0
2021-05-01,Tatale District Hospital,Lisinopril 10mg,495,0,472,2,21,7
2021-06-01,Tatale District Hospital,Lisinopril 10mg,21,1575,540,0,1056,0
2021-07-01,Tatale District Hospital,Lisinopril 10mg,1056,0,547,17,492,0
2021-08-01,Tatale District Hospital,Lisinopril 10mg,492,0,486,1,5,0
2021-09-01,Tatale District Hospital,Lisinopril 10mg,5,0,397,0,0,8
2021-10-01,Tatale District Hospital,Lisinopril 10mg,0,1550,396,0,1154,0
2021-11-01,Tatale District Hospital,Lisinopril 10mg,1154,0,487,19,648,0
2021-12-01,Tatale District Hospital,Lisinopril 10mg,648,1253,443,5,1453,0
2022-01-01,Tatale District Hospital,Lisinopril 10mg,1453,0,443,12,998,0
2022-02-01,Tatale District Hospital,Lisinopril 10mg,998,1302,550,0,1750,0
2022-03-01,Tatale District Hospital,Lisinopril 10mg,1750,0,598,22,1130,0
2022-04-01,Tatale District Hospital,Lisinopril 10mg,1130,0,608,21,501,0
2022-05-01,Tatale District Hospital,Lisinopril 10mg,501,0,517,4,0,14
2022-06-01,Tatale District Hospital,Lisinopril 10mg,0,1401,491,0,910,0
2022-07-01,Tatale District Hospital,Lisinopril 10mg,910,0,577,1,332,0
2022-08-01,Tatale District Hospital,Lisinopril 10mg,332,0,501,0,0,6
2022-09-01,Tatale District Hospital,Lisinopril 10mg,0,0,452,0,0,2
2022-10-01,Tatale District Hospital,Lisinopril 10mg,0,0,441,0,0,6
2022-11-01,Tatale District Hospital,Lisinopril 10mg,0,0,526,0,0,3
2022-12-01,Tatale District Hospital,Lisinopril 10mg,0,1603,481,0,1122,0
2023-01-01,Tatale District Hospital,Lisinopril 10mg,1122,0,523,20,579,0
2023-02-01,Tatale District Hospital,Lisinopril 10mg,579,0,495,2,82,11
2023-03-01,Tatale District Hospital,Lisinopril 10mg,82,0,642,0,0,0
2023-04-01,Tatale District Hospital,Lisinopril 10mg,0,0,630,0,0,0
2023-05-01,Tatale District Hospital,Lisinopril 10mg,0,0,594,0,0,0
2023-06-01,Tatale District Hospital,Lisinopril 10mg,0,1518,594,0,924,0
2023-07-01,Tatale District Hospital,Lisinopril 10mg,924,0,618,7,299,0
2023-08-01,Tatale District Hospital,Lisinopril 10mg,299,1321,514,4,1102,0
2023-09-01,Tatale District Hospital,Lisinopril 10mg,1102,1565,469,17,2181,0
2023-10-01,Tatale District Hospital,Lisinopril 10mg,2181,0,461,3,1717,0
2023-11-01,Tatale District Hospital,Lisinopril 10mg,1717,0,470,32,1215,0
2023-12-01,Tatale District Hospital,Lisinopril 10mg,1215,1468,573,11,2099,0
2024-01-01,Tatale District Hospital,Lisinopril 10mg,2099,0,484,35,1580,0
2024-02-01,Tatale District Hospital,Lisinopril 10mg,1580,0,546,19,1015,0
2024-03-01,Tatale District Hospital,Lisinopril 10mg,1015,1366,696,8,1677,0
2024-04-01,Tatale District Hospital,Lisinopril 10mg,1677,0,698,26,953,0
2024-05-01,Tatale District Hospital,Lisinopril 10mg,953,0,574,1,378,0
2024-06-01,Tatale District Hospital,Lisinopril 10mg,378,1264,641,0,1001,0
2024-07-01,Tatale District Hospital,Lisinopril 10mg,1001,0,624,1,376,0
2024-08-01,Tatale District Hospital,Lisinopril 10mg,376,1183,609,3,947,0
2024-09-01,Tatale District Hospital,Lisinopril 10mg,947,0,565,5,377,0
2024-10-01,Tatale District Hospital,Lisinopril 10mg,377,0,551,1,0,0
2024-11-01,Tatale District Hospital,Lisinopril 10mg,0,0,558,0,0,0
2024-12-01,Tatale District Hospital,Lisinopril 10mg,0,1374,494,0,880,0
2020-01-01,Tatale District Hospital,Metformin 500mg,2937,0,1145,0,1792,0
2020-02-01,Tatale District Hospital,Metformin 500mg,1792,3544,1299,15,4022,0
2020-03-01,Tatale District Hospital,Metformin 500mg,4022,3578,1107,53,6440,0
2020-04-01,Tatale District Hospital,Metformin 500mg,6440,0,1135,84,5221,0
2020-05-01,Tatale District Hospital,Metformin 500mg,5221,0,1356,37,3828,0
2020-06-01,Tatale District Hospital,Metformin 500mg,3828,3882,1380,59,6271,0
2020-07-01,Tatale District Hospital,Metformin 500mg,6271,0,994,100,5177,0
2020-08-01,Tatale District Hospital,Metformin 500mg,5177,0,1045,103,4029,0
2020-09-01,Tatale District Hospital,Metformin 500mg,4029,0,975,58,2996,0
2020-10-01,Tatale District Hospital,Metformin 500mg,2996,0,1121,19,1856,0
2020-11-01,Tatale District Hospital,Metformin 500mg,1856,0,1165,15,676,0
2020-12-01,Tatale District Hospital,Metformin 500mg,676,3329,1059,9,2937,0
2021-01-01,Tatale District Hospital,Metformin 500mg,2937,0,1081,41,1815,0
2021-02-01,Tatale District Hospital,Metformin 500mg,1815,0,1105,24,686,0
2021-03-01,Tatale District Hospital,Metformin 500mg,686,0,1204,10,0,6
2021-04-01,Tatale District Hospital,Metformin 500mg,0,3228,1473,0,1755,0
2021-05-01,Tatale District Hospital,Metformin 500mg,1755,0,1258,0,497,0
2021-06-01,Tatale District Hospital,Metformin 500mg,497,3455,1432,5,2515,0
2021-07-01,Tatale District Hospital,Metformin 500mg,2515,0,1142,41,1332,0
2021-08-01,Tatale District Hospital,Metformin 500mg,1332,3917,1140,3,4106,0
2021-09-01,Tatale District Hospital,Metformin 500mg,4106,0,1198,7,2901,0
2021-10-01,Tatale District Hospital,Metformin 500mg,2901,3374,985,25,5265,0
2021-11-01,Tatale District Hospital,Metformin 500mg,5265,0,1156,12,4097,0
2021-12-01,Tatale District Hospital,Metformin 500mg,4097,3643,1260,66,6414,0
2022-01-01,Tatale District Hospital,Metformin 500mg,6414,0,1098,30,5286,0
2022-02-01,Tatale District Hospital,Metformin 500mg,5286,3673,1381,45,7533,0
2022-03-01,Tatale District Hospital,Metformin 500mg,7533,3266,1229,135,9435,0
2022-04-01,Tatale District Hospital,Metformin 500mg,9435,3118,1616,14,10923,0
2022-05-01,Tatale District Hospital,Metformin 500mg,10923,0,1370,185,9368,0
2022-06-01,Tatale District Hospital,Metformin 500mg,9368,2932,1197,55,11048,0
2022-07-01,Tatale District Hospital,Metformin 500mg,11048,0,1307,87,9654,0
2022-08-01,Tatale District Hospital,Metformin 500mg,9654,0,1074,12,8568,0
2022-09-01,Tatale District Hospital,Metformin 500mg,8568,3227,1120,83,10592,0
2022-10-01,Tatale District Hospital,Metformin 500mg,10592,0,1199,126,9267,0
2022-11-01,Tatale District Hospital,Metformin 500mg,9267,0,1234,84,7949,0
2022-12-01,Tatale District Hospital,Metformin 500mg,7949,3230,1330,29,9820,0
2023-01-01,Tatale District Hospital,Metformin 500mg,9820,0,1277,135,8408,0
2023-02-01,Tatale District Hospital,Metformin 500mg,8408,3060,1320,71,10077,0
2023-03-01,Tatale District Hospital,Metformin 500mg,10077,0,1282,171,8624,0
2023-04-01,Tatale District Hospital,Metformin 500mg,8624,4000,1376,96,11152,0
2023-05-01,Tatale District Hospital,Metformin 500mg,11152,0,1301,52,9799,0
2023-06-01,Tatale District Hospital,Metformin 500mg,9799,3988,1448,15,12324,0
2023-07-01,Tatale District Hospital,Metformin 500mg,12324,0,1531,66,10727,0
2023-08-01,Tatale District Hospital,Metformin 500mg,10727,3174,1100,90,12711,0
2023-09-01,Tatale District Hospital,Metformin 500mg,12711,0,1062,227,11422,0
2023-10-01,Tatale District Hospital,Metformin 500mg,11422,0,1262,33,10127,0
2023-11-01,Tatale District Hospital,Metformin 500mg,10127,0,1356,179,8592,0
2023-12-01,Tatale District Hospital,Metformin 500mg,8592,3905,1112,61,11324,0
2024-01-01,Tatale District Hospital,Metformin 500mg,11324,0,1451,80,9793,0
2024-02-01,Tatale District Hospital,Metformin 500mg,9793,0,1259,29,8505,0
2024-03-01,Tatale District Hospital,Metformin 500mg,8505,0,1443,22,7040,0
2024-04-01,Tatale District Hospital,Metformin 500mg,7040,3333,1691,31,8651,0
2024-05-01,Tatale District Hospital,Metformin 500mg,8651,0,1565,78,7008,0
2024-06-01,Tatale District Hospital,Metformin 500mg,7008,3208,1548,60,8608,0
2024-07-01,Tatale District Hospital,Metformin 500mg,8608,0,1398,56,7154,0
2024-08-01,Tatale District Hospital,Metformin 500mg,7154,0,1188,6,5960,0
2024-09-01,Tatale District Hospital,Metformin 500mg,5960,3749,1415,28,8266,0
2024-10-01,Tatale District Hospital,Metformin 500mg,8266,3045,1164,115,10032,0
2024-11-01,Tatale District Hospital,Metformin 500mg,10032,0,1309,75,8648,0
2024-12-01,Tatale District Hospital,Metformin 500mg,8648,3222,1382,64,10424,0
2020-01-01,Tatale District Hospital,Atorvastatin 20mg,625,0,269,9,347,0
2020-02-01,Tatale District Hospital,Atorvastatin 20mg,347,690,302,4,731,0
2020-03-01,Tatale District Hospital,Atorvastatin 20mg,731,0,292,11,428,0
2020-04-01,Tatale District Hospital,Atorvastatin 20mg,428,852,248,3,1029,0
2020-05-01,Tatale District Hospital,Atorvastatin 20mg,1029,0,291,13,725,0
2020-06-01,Tatale District Hospital,Atorvastatin 20mg,725,681,269,0,1137,0
2020-07-01,Tatale District Hospital,Atorvastatin 20mg,1137,0,257,7,873,0
2020-08-01,Tatale District Hospital,Atorvastatin 20mg,873,646,270,5,1244,0
2020-09-01,Tatale District Hospital,Atorvastatin 20mg,1244,734,251,10,1717,0
2020-10-01,Tatale District Hospital,Atorvastatin 20mg,1717,0,221,27,1469,0
2020-11-01,Tatale District Hospital,Atorvastatin 20mg,1469,0,254,3,1212,0
2020-12-01,Tatale District Hospital,Atorvastatin 20mg,1212,695,241,5,1661,0
2021-01-01,Tatale District Hospital,Atorvastatin 20mg,1661,0,260,13,1388,0
2021-02-01,Tatale District Hospital,Atorvastatin 20mg,1388,825,282,26,1905,0
2021-03-01,Tatale District Hospital,Atorvastatin 20mg,1905,0,317,29,1559,0
2021-04-01,Tatale District Hospital,Atorvastatin 20mg,1559,832,249,21,2121,0
2021-05-01,Tatale District Hospital,Atorvastatin 20mg,2121,0,284,27,1810,0
2021-06-01,Tatale District Hospital,Atorvastatin 20mg,1810,683,287,13,2193,0
2021-07-01,Tatale District Hospital,Atorvastatin 20mg,2193,0,296,39,1858,0
2021-08-01,Tatale District Hospital,Atorvastatin 20mg,1858,876,226,34,2474,0
2021-09-01,Tatale District Hospital,Atorvastatin 20mg,2474,818,213,29,3050,0
2021-10-01,Tatale District Hospital,Atorvastatin 20mg,3050,798,271,10,3567,0
2021-11-01,Tatale District Hospital,Atorvastatin 20mg,3567,0,236,8,3323,0
2021-12-01,Tatale District Hospital,Atorvastatin 20mg,3323,831,222,64,3868,0
2022-01-01,Tatale District Hospital,Atorvastatin 20mg,3868,0,294,67,3507,0
2022-02-01,Tatale District Hospital,Atorvastatin 20mg,3507,860,266,66,4035,0
2022-03-01,Tatale District Hospital,Atorvastatin 20mg,4035,0,336,3,3696,0
2022-04-01,Tatale District Hospital,Atorvastatin 20mg,3696,667,313,68,3982,0
2022-05-01,Tatale District Hospital,Atorvastatin 20mg,3982,0,262,25,3695,0
2022-06-01,Tatale District Hospital,Atorvastatin 20mg,3695,881,302,28,4246,0
2022-07-01,Tatale District Hospital,Atorvastatin 20mg,4246,0,289,15,3942,0
2022-08-01,Tatale District Hospital,Atorvastatin 20mg,3942,0,295,32,3615,0
2022-09-01,Tatale District Hospital,Atorvastatin 20mg,3615,677,223,32,4037,0
2022-10-01,Tatale District Hospital,Atorvastatin 20mg,4037,826,270,10,4583,0
2022-11-01,Tatale District Hospital,Atorvastatin 20mg,4583,0,273,73,4237,0
2022-12-01,Tatale District Hospital,Atorvastatin 20mg,4237,776,269,45,4699,0
2023-01-01,Tatale District Hospital,Atorvastatin 20mg,4699,0,297,33,4369,0
2023-02-01,Tatale District Hospital,Atorvastatin 20mg,4369,662,293,51,4687,0
2023-03-01,Tatale District Hospital,Atorvastatin 20mg,4687,657,302,10,5032,0
2023-04-01,Tatale District Hospital,Atorvastatin 20mg,5032,0,273,84,4675,0
2023-05-01,Tatale District Hospital,Atorvastatin 20mg,4675,0,336,36,4303,0
2023-06-01,Tatale District Hospital,Atorvastatin 20mg,4303,682,323,25,4637,0
2023-07-01,Tatale District Hospital,Atorvastatin 20mg,4637,0,271,54,4312,0
2023-08-01,Tatale District Hospital,Atorvastatin 20mg,4312,667,259,64,4656,0
2023-09-01,Tatale District Hospital,Atorvastatin 20mg,4656,787,260,82,5101,0
2023-10-01,Tatale District Hospital,Atorvastatin 20mg,5101,804,296,71,5538,0
2023-11-01,Tatale District Hospital,Atorvastatin 20mg,5538,0,230,86,5222,0
2023-12-01,Tatale District Hospital,Atorvastatin 20mg,5222,833,265,46,5744,0
2024-01-01,Tatale District Hospital,Atorvastatin 20mg,5744,0,287,91,5366,0
2024-02-01,Tatale District Hospital,Atorvastatin 20mg,5366,0,317,44,5005,0
2024-03-01,Tatale District Hospital,Atorvastatin 20mg,5005,0,349,34,4622,0
2024-04-01,Tatale District Hospital,Atorvastatin 20mg,4622,856,350,40,5088,0
2024-05-01,Tatale District Hospital,Atorvastatin 20mg,5088,0,313,10,4765,0
2024-06-01,Tatale District Hospital,Atorvastatin 20mg,4765,641,309,9,5088,0
2024-07-01,Tatale District Hospital,Atorvastatin 20mg,5088,0,309,24,4755,0
2024-08-01,Tatale District Hospital,Atorvastatin 20mg,4755,836,323,12,5256,0
2024-09-01,Tatale District Hospital,Atorvastatin 20mg,5256,0,248,33,4975,0
2024-10-01,Tatale District Hospital,Atorvastatin 20mg,4975,0,252,48,4675,0
2024-11-01,Tatale District Hospital,Atorvastatin 20mg,4675,0,257,41,4377,0
2024-12-01,Tatale District Hospital,Atorvastatin 20mg,4377,836,315,71,4827,0
2020-01-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,991,0,406,14,571,0
2020-02-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,571,0,404,4,163,0
2020-03-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,163,0,441,0,0,0
2020-04-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,0,0,402,0,0,14
2020-05-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,0,0,448,0,0,11
2020-06-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,0,1235,429,0,806,0
2020-07-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,806,0,378,14,414,0
2020-08-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,414,0,334,0,80,14
2020-09-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,80,0,304,0,0,14
2020-10-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,0,1001,333,0,668,0
2020-11-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,668,0,311,9,348,0
2020-12-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,348,1241,335,1,1253,0
2021-01-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,1253,0,394,13,846,0
2021-02-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,846,1158,398,1,1605,0
2021-03-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,1605,0,372,11,1222,0
2021-04-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,1222,1094,427,21,1868,0
2021-05-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,1868,0,438,31,1399,0
2021-06-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,1399,1294,350,6,2337,0
2021-07-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,2337,0,348,27,1962,0
2021-08-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,1962,1232,399,0,2795,0
2021-09-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,2795,0,341,23,2431,0
2021-10-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,2431,1261,326,41,3325,0
2021-11-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,3325,0,325,25,2975,0
2021-12-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,2975,1009,347,10,3627,0
2022-01-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,3627,0,393,26,3208,0
2022-02-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,3208,0,458,25,2725,0
2022-03-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,2725,949,502,19,3153,0
2022-04-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,3153,0,449,42,2662,0
2022-05-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,2662,0,442,29,2191,0
2022-06-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,2191,1032,405,2,2816,0
2022-07-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,2816,0,375,33,2408,0
2022-08-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,2408,947,328,38,2989,0
2022-09-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,2989,0,360,18,2611,0
2022-10-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,2611,1224,407,41,3387,0
2022-11-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,3387,0,349,49,2989,0
2022-12-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,2989,1026,339,0,3676,0
2023-01-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,3676,0,450,45,3181,0
2023-02-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,3181,972,425,3,3725,0
2023-03-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,3725,0,393,46,3286,0
2023-04-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,3286,0,487,47,2752,0
2023-05-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,2752,0,483,33,2236,0
2023-06-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,2236,1226,404,22,3036,0
2023-07-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,3036,0,380,25,2631,0
2023-08-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,2631,0,451,18,2162,0
2023-09-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,2162,1191,392,41,2920,0
2023-10-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,2920,973,435,11,3447,0
2023-11-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,3447,0,335,24,3088,0
2023-12-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,3088,981,402,19,3648,0
2024-01-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,3648,0,406,54,3188,0
2024-02-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,3188,1269,512,44,3901,0
2024-03-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,3901,1117,436,5,4577,0
2024-04-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,4577,0,421,51,4105,0
2024-05-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,4105,0,540,33,3532,0
2024-06-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,3532,962,523,48,3923,0
2024-07-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,3923,0,473,77,3373,0
2024-08-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,3373,1027,474,50,3876,0
2024-09-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,3876,0,409,62,3405,0
2024-10-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,3405,1043,349,61,4038,0
2024-11-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,4038,0,364,44,3630,0
2024-12-01,Tatale District Hospital,Bendroflumethiazide 2.5mg,3630,1140,415,34,4321,0
2020-01-01,Tatale District Hospital,Nifedipine 20mg,775,0,240,11,524,0
2020-02-01,Tatale District Hospital,Nifedipine 20mg,524,0,265,4,255,0
2020-03-01,Tatale District Hospital,Nifedipine 20mg,255,809,255,4,805,0
2020-04-01,Tatale District Hospital,Nifedipine 20mg,805,657,318,7,1137,0
2020-05-01,Tatale District Hospital,Nifedipine 20mg,1137,0,284,10,843,0
2020-06-01,Tatale District Hospital,Nifedipine 20mg,843,893,268,14,1454,0
2020-07-01,Tatale District Hospital,Nifedipine 20mg,1454,0,252,15,1187,0
2020-08-01,Tatale District Hospital,Nifedipine 20mg,1187,738,227,14,1684,0
2020-09-01,Tatale District Hospital,Nifedipine 20mg,1684,0,262,4,1418,0
2020-10-01,Tatale District Hospital,Nifedipine 20mg,1418,0,247,18,1153,0
2020-11-01,Tatale District Hospital,Nifedipine 20mg,1153,0,220,19,914,0
2020-12-01,Tatale District Hospital,Nifedipine 20mg,914,701,214,16,1385,0
2021-01-01,Tatale District Hospital,Nifedipine 20mg,1385,0,232,2,1151,0
2021-02-01,Tatale District Hospital,Nifedipine 20mg,1151,780,280,20,1631,0
2021-03-01,Tatale District Hospital,Nifedipine 20mg,1631,0,303,10,1318,0
2021-04-01,Tatale District Hospital,Nifedipine 20mg,1318,0,279,25,1014,0
2021-05-01,Tatale District Hospital,Nifedipine 20mg,1014,0,313,13,688,0
2021-06-01,Tatale District Hospital,Nifedipine 20mg,688,711,323,13,1063,0
2021-07-01,Tatale District Hospital,Nifedipine 20mg,1063,0,290,14,759,0
2021-08-01,Tatale District Hospital,Nifedipine 20mg,759,0,280,13,466,0
2021-09-01,Tatale District Hospital,Nifedipine 20mg,466,0,263,7,196,0
2021-10-01,Tatale District Hospital,Nifedipine 20mg,196,0,218,1,0,0
2021-11-01,Tatale District Hospital,Nifedipine 20mg,0,0,269,0,0,0
